scenario,iteration,fuzzer_type,algorithm,cell_loads,avg_overall_sinr,avg_high_prio_sinr,fairness_index,handover_count_iter,vulnerabilities
Low Load,13,AI,baseline,"[0.3333333333333333, 0.23333333333333334, 0.43333333333333335]",26.47051,24.534843,0.42279465675343564,9,[]
Low Load,14,AI,baseline,"[0.3, 0.3333333333333333, 0.36666666666666664]",22.610722,14.885033,0.327668243857632,10,['Unfairness: Jain Index = 0.33']
Low Load,15,AI,baseline,"[0.2, 0.4666666666666667, 0.3333333333333333]",20.53498,23.27064,0.2891606200397885,12,['Unfairness: Jain Index = 0.29']
Low Load,16,AI,baseline,"[0.23333333333333334, 0.4, 0.36666666666666664]",23.933567,33.013386,0.26130364207223394,8,['Unfairness: Jain Index = 0.26']
Low Load,17,AI,baseline,"[0.23333333333333334, 0.36666666666666664, 0.4]",16.197895,15.808257,0.20579918486708051,9,['Unfairness: Jain Index = 0.21']
Low Load,18,AI,baseline,"[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]",12.987597,11.2728,0.15338354276039037,10,['Unfairness: Jain Index = 0.15']
Low Load,19,AI,baseline,"[0.26666666666666666, 0.3, 0.43333333333333335]",14.770758,8.973839,0.23294476502910702,7,['Unfairness: Jain Index = 0.23']
Low Load,20,AI,baseline,"[0.2, 0.4666666666666667, 0.3333333333333333]",24.703024,28.7053,0.3606942205180128,10,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.36']"
Low Load,21,AI,baseline,"[0.3, 0.3, 0.4]",14.352192,16.015358,0.20158076806045744,10,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,22,AI,baseline,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",14.289977,13.57587,0.1446091750365445,10,['Unfairness: Jain Index = 0.14']
Low Load,23,AI,baseline,"[0.23333333333333334, 0.23333333333333334, 0.5333333333333333]",14.167698,11.275894,0.19022842894088873,10,['Unfairness: Jain Index = 0.19']
Low Load,24,AI,baseline,"[0.2, 0.36666666666666664, 0.43333333333333335]",19.354252,17.220547,0.20783734107726237,7,['Unfairness: Jain Index = 0.21']
Low Load,25,AI,baseline,"[0.16666666666666666, 0.4, 0.43333333333333335]",13.358127,15.68163,0.1010028433421626,10,['Unfairness: Jain Index = 0.10']
Low Load,26,AI,baseline,"[0.3, 0.2, 0.5]",17.603914,21.096111,0.21409656244136738,14,['Unfairness: Jain Index = 0.21']
Low Load,27,AI,baseline,"[0.2, 0.3333333333333333, 0.4666666666666667]",10.748049,9.465754,0.14720120795465938,9,['Unfairness: Jain Index = 0.15']
Low Load,28,AI,baseline,"[0.3, 0.26666666666666666, 0.43333333333333335]",11.288962,12.488149,0.09147043690721342,9,['Unfairness: Jain Index = 0.09']
Low Load,29,AI,baseline,"[0.3333333333333333, 0.36666666666666664, 0.3]",9.34941,16.355074,0.06178664305398753,13,['Unfairness: Jain Index = 0.06']
Low Load,30,AI,baseline,"[0.2, 0.3, 0.5]",11.307369,14.731358,0.15109674874539625,14,['Unfairness: Jain Index = 0.15']
Low Load,31,AI,baseline,"[0.2, 0.3, 0.5]",16.637632,18.237503,0.18857597912480564,12,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.19']"
Low Load,32,AI,baseline,"[0.4, 0.23333333333333334, 0.36666666666666664]",16.917763,18.655638,0.15618150901488742,16,['Unfairness: Jain Index = 0.16']
Low Load,33,AI,baseline,"[0.3, 0.3, 0.4]",13.218979,5.5048714,0.10097584712605373,11,['Unfairness: Jain Index = 0.10']
Low Load,34,AI,baseline,"[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]",14.473266,29.239143,0.13929371564391066,14,['Unfairness: Jain Index = 0.14']
Low Load,35,AI,baseline,"[0.2, 0.43333333333333335, 0.36666666666666664]",17.092546,8.077256,0.18035122910482876,14,['Unfairness: Jain Index = 0.18']
Low Load,36,AI,baseline,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",20.21238,26.000772,0.18568146051605208,11,['Unfairness: Jain Index = 0.19']
Low Load,37,AI,baseline,"[0.4, 0.26666666666666666, 0.3333333333333333]",11.208104,4.950763,0.08634832766310903,15,['Unfairness: Jain Index = 0.09']
Low Load,38,AI,baseline,"[0.3333333333333333, 0.26666666666666666, 0.4]",10.907911,8.965283,0.1298740538282969,15,['Unfairness: Jain Index = 0.13']
Low Load,39,AI,baseline,"[0.3333333333333333, 0.3, 0.36666666666666664]",11.446515,14.794063,0.08083060945382985,17,"['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.08']"
Low Load,40,AI,baseline,"[0.3333333333333333, 0.26666666666666666, 0.4]",17.57481,12.408592,0.1924897836708872,12,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.19']"
Low Load,41,AI,baseline,"[0.26666666666666666, 0.43333333333333335, 0.3]",17.729755,12.128525,0.21792877615107453,14,['Unfairness: Jain Index = 0.22']
Low Load,42,AI,baseline,"[0.26666666666666666, 0.43333333333333335, 0.3]",14.515348,17.886454,0.1449610962105626,12,['Unfairness: Jain Index = 0.14']
Low Load,43,AI,baseline,"[0.3333333333333333, 0.5, 0.16666666666666666]",13.028716,16.219902,0.1412327889243688,14,['Unfairness: Jain Index = 0.14']
Low Load,44,AI,baseline,"[0.16666666666666666, 0.43333333333333335, 0.4]",10.884338,3.5305264,0.1497009540781675,14,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,45,AI,baseline,"[0.2, 0.4666666666666667, 0.3333333333333333]",17.08395,15.303672,0.2127270764386875,13,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,46,AI,baseline,"[0.26666666666666666, 0.43333333333333335, 0.3]",9.875243,6.745083,0.1296756431719332,16,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,47,AI,baseline,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]",16.301683,12.061894,0.20952342613034586,10,['Unfairness: Jain Index = 0.21']
Low Load,48,AI,baseline,"[0.26666666666666666, 0.4, 0.3333333333333333]",20.458235,13.565892,0.21043978433746635,15,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,49,AI,baseline,"[0.3, 0.4, 0.3]",12.232221,6.268596,0.11886410135624839,18,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,50,AI,baseline,"[0.3, 0.43333333333333335, 0.26666666666666666]",24.996729,27.363327,0.275568627054081,14,['Unfairness: Jain Index = 0.28']
Low Load,51,AI,baseline,"[0.3333333333333333, 0.36666666666666664, 0.3]",13.048595,20.033056,0.15980354115261236,12,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.16']"
Low Load,52,AI,baseline,"[0.2, 0.36666666666666664, 0.43333333333333335]",24.930855,28.138323,0.2628764692332736,16,['Unfairness: Jain Index = 0.26']
Low Load,53,AI,baseline,"[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]",17.601309,18.50616,0.1886535717973084,12,['Unfairness: Jain Index = 0.19']
Low Load,54,AI,baseline,"[0.3333333333333333, 0.4, 0.26666666666666666]",10.309556,9.581996,0.12711294630779293,16,['Unfairness: Jain Index = 0.13']
Low Load,55,AI,baseline,"[0.3333333333333333, 0.26666666666666666, 0.4]",11.181957,16.681353,0.11378111465093795,14,['Unfairness: Jain Index = 0.11']
Low Load,56,AI,baseline,"[0.03333333333333333, 0.5, 0.4666666666666667]",11.272012,14.153089,0.14995705156922504,15,['Unfairness: Jain Index = 0.15']
Low Load,57,AI,baseline,"[0.26666666666666666, 0.4, 0.3333333333333333]",15.490121,19.085785,0.19932474311341689,15,['Unfairness: Jain Index = 0.20']
Low Load,58,AI,baseline,"[0.3, 0.36666666666666664, 0.3333333333333333]",16.23733,17.312174,0.19558219842255972,14,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,59,AI,baseline,"[0.23333333333333334, 0.4, 0.36666666666666664]",23.099957,19.284575,0.25037520509441463,11,['Unfairness: Jain Index = 0.25']
Low Load,60,AI,baseline,"[0.4, 0.43333333333333335, 0.16666666666666666]",20.49159,19.35538,0.2857863041151616,16,['Unfairness: Jain Index = 0.29']
Low Load,61,AI,baseline,"[0.23333333333333334, 0.4666666666666667, 0.3]",16.094576,17.2398,0.20816575371013796,15,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,62,AI,baseline,"[0.3333333333333333, 0.3, 0.36666666666666664]",11.893107,4.860671,0.11446952862229065,14,"['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.11']"
Low Load,63,AI,baseline,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]",12.332938,6.43524,0.15123255184322296,15,['Unfairness: Jain Index = 0.15']
Low Load,64,AI,baseline,"[0.26666666666666666, 0.3, 0.43333333333333335]",12.48406,16.561651,0.14063061749893113,15,['Unfairness: Jain Index = 0.14']
Low Load,65,AI,baseline,"[0.23333333333333334, 0.4666666666666667, 0.3]",16.021875,14.690515,0.18258357586359622,11,"['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.18']"
Low Load,66,AI,baseline,"[0.3, 0.5, 0.2]",17.022911,11.696034,0.23082296736017047,14,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,67,AI,baseline,"[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]",14.995075,23.443571,0.16615507670524807,14,['Unfairness: Jain Index = 0.17']
Low Load,68,AI,baseline,"[0.23333333333333334, 0.5, 0.26666666666666666]",17.744692,7.291155,0.1740862875875056,10,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.17']"
Low Load,69,AI,baseline,"[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]",19.292654,12.156335,0.2433705016475971,14,['Unfairness: Jain Index = 0.24']
Low Load,70,AI,baseline,"[0.36666666666666664, 0.3333333333333333, 0.3]",2.0242162,6.7904415,0.294269962793456,8,['Unfairness: Jain Index = 0.29']
Low Load,71,AI,baseline,"[0.2, 0.43333333333333335, 0.36666666666666664]",13.344115,13.4861555,0.15081776002711658,13,['Unfairness: Jain Index = 0.15']
Low Load,72,AI,baseline,"[0.3, 0.4, 0.3]",10.228317,8.405064,0.12527371802223897,12,['Unfairness: Jain Index = 0.13']
Low Load,73,AI,baseline,"[0.3333333333333333, 0.36666666666666664, 0.3]",8.310961,7.517164,0.11261212781331106,16,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.11']"
Low Load,74,AI,baseline,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",11.361644,16.129732,0.1476586093933839,10,['Unfairness: Jain Index = 0.15']
Low Load,75,AI,baseline,"[0.36666666666666664, 0.3333333333333333, 0.3]",9.354553,5.6271725,0.11067414313249907,14,['Unfairness: Jain Index = 0.11']
Low Load,76,AI,baseline,"[0.43333333333333335, 0.26666666666666666, 0.3]",11.188291,16.250502,0.1302983023875213,16,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,77,AI,baseline,"[0.36666666666666664, 0.3, 0.3333333333333333]",13.875092,13.096265,0.12541997654328316,14,['Unfairness: Jain Index = 0.13']
Low Load,78,AI,baseline,"[0.4, 0.23333333333333334, 0.36666666666666664]",9.418101,14.452663,0.12041231184706033,13,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,79,AI,baseline,"[0.36666666666666664, 0.3, 0.3333333333333333]",12.30251,6.9064746,0.14549270490568822,13,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,80,AI,baseline,"[0.3, 0.36666666666666664, 0.3333333333333333]",17.56835,8.2542,0.2395340249147735,15,['Unfairness: Jain Index = 0.24']
Low Load,81,AI,baseline,"[0.4, 0.26666666666666666, 0.3333333333333333]",18.902378,7.9057927,0.24660818895232958,20,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.25']"
Low Load,82,AI,baseline,"[0.2, 0.5333333333333333, 0.26666666666666666]",15.184981,17.35729,0.16199713276604386,16,"['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.16']"
Low Load,83,AI,baseline,"[0.13333333333333333, 0.5, 0.36666666666666664]",9.500817,5.1607285,0.14461696161146492,10,['Unfairness: Jain Index = 0.14']
Low Load,84,AI,baseline,"[0.26666666666666666, 0.23333333333333334, 0.5]",6.8876514,8.983456,0.12100650206687043,15,['Unfairness: Jain Index = 0.12']
Low Load,85,AI,baseline,"[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]",11.517887,14.451556,0.17525540069651174,12,['Unfairness: Jain Index = 0.18']
Low Load,86,AI,baseline,"[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]",17.966784,15.864365,0.18651938495533904,13,['Unfairness: Jain Index = 0.19']
Low Load,87,AI,baseline,"[0.26666666666666666, 0.3, 0.43333333333333335]",16.356043,20.005548,0.17376115946847595,9,['Unfairness: Jain Index = 0.17']
Low Load,88,AI,baseline,"[0.23333333333333334, 0.3, 0.4666666666666667]",11.369262,4.818753,0.13020394951503672,12,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,89,AI,baseline,"[0.2, 0.43333333333333335, 0.36666666666666664]",11.23048,18.26552,0.1366997955554254,13,['Unfairness: Jain Index = 0.14']
Low Load,90,AI,baseline,"[0.16666666666666666, 0.3, 0.5333333333333333]",7.003407,11.602867,0.047881012326626775,14,['Unfairness: Jain Index = 0.05']
Low Load,91,AI,baseline,"[0.26666666666666666, 0.3, 0.43333333333333335]",15.794972,8.020207,0.2300735264641555,13,['Unfairness: Jain Index = 0.23']
Low Load,92,AI,baseline,"[0.3, 0.36666666666666664, 0.3333333333333333]",11.954809,3.1723034,0.14571593481840414,11,['Unfairness: Jain Index = 0.15']
Low Load,93,AI,baseline,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",11.239912,15.970856,0.1491915567355429,10,['Unfairness: Jain Index = 0.15']
Low Load,94,AI,baseline,"[0.2, 0.3, 0.5]",11.645724,10.22697,0.13875381158337732,16,['Unfairness: Jain Index = 0.14']
Low Load,95,AI,baseline,"[0.4, 0.3, 0.3]",6.7535768,3.234872,0.06278538485933952,17,['Unfairness: Jain Index = 0.06']
Low Load,96,AI,baseline,"[0.3333333333333333, 0.3, 0.36666666666666664]",12.008652,10.913798,0.15075819899406595,12,['Unfairness: Jain Index = 0.15']
Low Load,97,AI,baseline,"[0.3, 0.3, 0.4]",12.15082,9.385003,0.1281871320752912,15,['Unfairness: Jain Index = 0.13']
Low Load,98,AI,baseline,"[0.3, 0.23333333333333334, 0.4666666666666667]",11.141127,4.0928445,0.12275703385305216,12,['Unfairness: Jain Index = 0.12']
Low Load,99,AI,baseline,"[0.4, 0.43333333333333335, 0.16666666666666666]",4.3452168,5.471674,0.06002911457817429,15,['Unfairness: Jain Index = 0.06']
Low Load,0,AI,utility,"[0.2, 0.36666666666666664, 0.43333333333333335]",14.014965,11.9890175,0.22382447090798532,16,['Unfairness: Jain Index = 0.22']
Low Load,1,AI,utility,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",14.606698,16.615425,0.2478856358903749,13,['Unfairness: Jain Index = 0.25']
Low Load,2,AI,utility,"[0.26666666666666666, 0.3333333333333333, 0.4]",18.38774,21.153748,0.2960218951106769,13,['Unfairness: Jain Index = 0.30']
Low Load,3,AI,utility,"[0.1, 0.43333333333333335, 0.4666666666666667]",11.341908,13.882274,0.1562473722067572,17,['Unfairness: Jain Index = 0.16']
Low Load,4,AI,utility,"[0.23333333333333334, 0.4666666666666667, 0.3]",23.80567,25.447412,0.46134019670906756,13,[]
Low Load,5,AI,utility,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",25.685604,26.70041,0.4092450207638692,17,[]
Low Load,6,AI,utility,"[0.26666666666666666, 0.4, 0.3333333333333333]",27.662128,30.52992,0.45408834757451305,18,['Ping-Pong: 2 UEs']
Low Load,7,AI,utility,"[0.23333333333333334, 0.3, 0.4666666666666667]",19.725462,20.809147,0.2861321941109931,12,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.29']"
Low Load,8,AI,utility,"[0.3333333333333333, 0.26666666666666666, 0.4]",22.802578,33.28674,0.32522153385851643,14,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.33']"
Low Load,9,AI,utility,"[0.23333333333333334, 0.4666666666666667, 0.3]",18.998281,18.290592,0.2402921062339345,16,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,10,AI,utility,"[0.13333333333333333, 0.3, 0.5666666666666667]",24.388689,15.840253,0.3162093630022288,14,['Unfairness: Jain Index = 0.32']
Low Load,11,AI,utility,"[0.43333333333333335, 0.3, 0.26666666666666666]",29.262901,34.897125,0.34682200415365005,15,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.35']"
Low Load,12,AI,utility,"[0.13333333333333333, 0.3, 0.5666666666666667]",25.937092,33.898952,0.3487427785733205,11,['Unfairness: Jain Index = 0.35']
Low Load,13,AI,utility,"[0.43333333333333335, 0.36666666666666664, 0.2]",21.06634,15.542178,0.3352452894936801,14,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.34']"
Low Load,14,AI,utility,"[0.3333333333333333, 0.36666666666666664, 0.3]",21.597054,26.794434,0.2678935792191528,10,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.27']"
Low Load,15,AI,utility,"[0.3, 0.4, 0.3]",38.66592,42.507473,0.4522532624338742,10,['Ping-Pong: 2 UEs']
Low Load,16,AI,utility,"[0.3, 0.3, 0.4]",15.685332,19.551859,0.1735839759637389,13,['Unfairness: Jain Index = 0.17']
Low Load,17,AI,utility,"[0.23333333333333334, 0.43333333333333335, 0.3333333333333333]",23.272085,21.86896,0.35779220275174534,11,['Unfairness: Jain Index = 0.36']
Low Load,18,AI,utility,"[0.26666666666666666, 0.23333333333333334, 0.5]",19.168207,23.530592,0.3067877599167601,13,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.31']"
Low Load,19,AI,utility,"[0.4, 0.26666666666666666, 0.3333333333333333]",40.378174,60.887833,0.4993760163270886,12,['Ping-Pong: 2 UEs']
Low Load,20,AI,utility,"[0.23333333333333334, 0.43333333333333335, 0.3333333333333333]",30.988976,37.647823,0.4657498272128497,11,[]
Low Load,21,AI,utility,"[0.3, 0.26666666666666666, 0.43333333333333335]",33.94652,39.675034,0.34963321234016553,11,['Unfairness: Jain Index = 0.35']
Low Load,22,AI,utility,"[0.3333333333333333, 0.4, 0.26666666666666666]",21.335808,36.050636,0.29260210604391135,13,['Unfairness: Jain Index = 0.29']
Low Load,23,AI,utility,"[0.3, 0.3333333333333333, 0.36666666666666664]",31.020355,26.701124,0.3893911381653273,15,['Unfairness: Jain Index = 0.39']
Low Load,24,AI,utility,"[0.36666666666666664, 0.23333333333333334, 0.4]",30.731752,39.75404,0.3772730863580598,13,['Unfairness: Jain Index = 0.38']
Low Load,25,AI,utility,"[0.3, 0.3333333333333333, 0.36666666666666664]",27.726986,32.922382,0.35264716579526567,14,['Unfairness: Jain Index = 0.35']
Low Load,26,AI,utility,"[0.3333333333333333, 0.43333333333333335, 0.23333333333333334]",31.589369,39.25113,0.4814097948277493,11,[]
Low Load,27,AI,utility,"[0.43333333333333335, 0.3, 0.26666666666666666]",27.709791,37.47653,0.34810276500850795,17,['Unfairness: Jain Index = 0.35']
Low Load,28,AI,utility,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]",35.11472,22.739172,0.40857923794287154,14,[]
Low Load,29,AI,utility,"[0.2, 0.5, 0.3]",27.430098,32.291016,0.3256458335266244,18,['Unfairness: Jain Index = 0.33']
Low Load,30,AI,utility,"[0.4, 0.16666666666666666, 0.43333333333333335]",27.235752,29.015604,0.27538098528279403,18,['Unfairness: Jain Index = 0.28']
Low Load,31,AI,utility,"[0.26666666666666666, 0.3333333333333333, 0.4]",39.7337,48.144337,0.44209839313413435,13,['Ping-Pong: 2 UEs']
Low Load,32,AI,utility,"[0.43333333333333335, 0.26666666666666666, 0.3]",19.985907,20.350006,0.24166380013041708,17,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,33,AI,utility,"[0.5, 0.3333333333333333, 0.16666666666666666]",24.154783,24.35045,0.2754742315411929,21,['Unfairness: Jain Index = 0.28']
Low Load,34,AI,utility,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",28.197802,28.659866,0.31725283991552394,18,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.32']"
Low Load,35,AI,utility,"[0.3333333333333333, 0.26666666666666666, 0.4]",20.674969,23.206491,0.23535064100311723,13,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,36,AI,utility,"[0.3333333333333333, 0.16666666666666666, 0.5]",30.504915,31.822798,0.3394813869874276,12,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.34']"
Low Load,37,AI,utility,"[0.3333333333333333, 0.43333333333333335, 0.23333333333333334]",22.46358,26.903128,0.22538966093152754,14,"['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,38,AI,utility,"[0.26666666666666666, 0.13333333333333333, 0.6]",27.549398,38.403934,0.31542673152650386,18,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.32']"
Low Load,39,AI,utility,"[0.36666666666666664, 0.3333333333333333, 0.3]",18.523201,7.988622,0.243877179036836,17,['Unfairness: Jain Index = 0.24']
Low Load,40,AI,utility,"[0.3333333333333333, 0.16666666666666666, 0.5]",18.629847,10.479687,0.25852131972809494,13,['Unfairness: Jain Index = 0.26']
Low Load,41,AI,utility,"[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]",30.320362,48.334904,0.31642236353321085,15,['Unfairness: Jain Index = 0.32']
Low Load,42,AI,utility,"[0.36666666666666664, 0.2, 0.43333333333333335]",19.508566,34.195072,0.21100629342027438,17,['Unfairness: Jain Index = 0.21']
Low Load,43,AI,utility,"[0.13333333333333333, 0.3, 0.5666666666666667]",23.242128,21.272943,0.2634303074225056,16,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.26']"
Low Load,44,AI,utility,"[0.4666666666666667, 0.23333333333333334, 0.3]",23.60916,25.370773,0.27736738571581576,19,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.28']"
Low Load,45,AI,utility,"[0.4, 0.4, 0.2]",21.398754,28.430687,0.29107839271488856,18,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.29']"
Low Load,46,AI,utility,"[0.36666666666666664, 0.26666666666666666, 0.36666666666666664]",20.8961,31.527374,0.22313151596034006,18,"['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.22']"
Low Load,47,AI,utility,"[0.3, 0.3, 0.4]",22.013186,35.7923,0.2635513708954851,17,"['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.26']"
Low Load,48,AI,utility,"[0.3, 0.2, 0.5]",23.82549,36.37649,0.25572607892480437,14,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.26']"
Low Load,49,AI,utility,"[0.3333333333333333, 0.3, 0.36666666666666664]",22.436657,24.28908,0.2832086469643109,18,['Unfairness: Jain Index = 0.28']
Low Load,50,AI,utility,"[0.3333333333333333, 0.4, 0.26666666666666666]",26.44449,31.911295,0.2567098953901486,8,['Unfairness: Jain Index = 0.26']
Low Load,51,AI,utility,"[0.3, 0.3, 0.4]",25.386547,20.831074,0.3133000697104595,11,['Unfairness: Jain Index = 0.31']
Low Load,52,AI,utility,"[0.3333333333333333, 0.26666666666666666, 0.4]",21.379017,21.26373,0.22275480168051834,16,['Unfairness: Jain Index = 0.22']
Low Load,53,AI,utility,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",21.023441,8.67068,0.2483101500071398,17,['Unfairness: Jain Index = 0.25']
Low Load,54,AI,utility,"[0.3, 0.23333333333333334, 0.4666666666666667]",33.15646,25.256508,0.3443709733832104,19,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.34']"
Low Load,55,AI,utility,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",19.64521,14.496902,0.21864822845545967,14,"['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.22']"
Low Load,56,AI,utility,"[0.26666666666666666, 0.4, 0.3333333333333333]",20.879995,12.809276,0.1852152599554773,13,['Unfairness: Jain Index = 0.19']
Low Load,57,AI,utility,"[0.4, 0.16666666666666666, 0.43333333333333335]",19.45286,23.916735,0.22684206059807296,14,['Unfairness: Jain Index = 0.23']
Low Load,58,AI,utility,"[0.3, 0.36666666666666664, 0.3333333333333333]",20.410164,16.773607,0.25284114337491026,17,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.25']"
Low Load,59,AI,utility,"[0.3333333333333333, 0.16666666666666666, 0.5]",22.954645,26.34931,0.27040780939832276,15,['Unfairness: Jain Index = 0.27']
Low Load,60,AI,utility,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",22.796236,15.986816,0.27654636040485475,18,"['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.28']"
Low Load,61,AI,utility,"[0.43333333333333335, 0.3, 0.26666666666666666]",28.659573,29.00119,0.27529617394202976,15,"['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.28']"
